time,S1R01,S1R02,S1R03,S1R04,S1R05,S1R06,S1R07,S1R08,S1R09,S1R10,S1R11,S1R12,S1R13,S1R14,S1R15,S1R16,S1R17,S1R18,S1R19,S1R20,S1R21,S1R22,S2R01,S2R02,S2R03,S2R04,S2R05,S2R06,S2R07,S2R08,S2R09,S3R01,S3R02,S3R03,S3R04,S3R05,S3R06,S3R07,S3R08,S3R09
548.0000000000,-127987.62,-165885.93,-199282.93,-231913.92,-266008.54,-295857.05,-325570.46,-355508.33,-385567.30,-415698.14,-446495.39,-482975.91,-518302.25,-554268.10,-592468.55,-636690.03,-671370.57,-704480.04,-741863.85,-769780.97,-791335.93,-798000.47,-76569.981,-105752.45,-139326.93,-187184.36,-221116.66,-246837.37,-266214.76,-280732.30,-291749.95,-1096354.8,-1117918.4,-1136735.5,-1155740.8,-1178047.6,-1207866.8,-1245012.5,-1293368.1,0.0000000
593.0000000000,-127160.45,-164074.33,-196503.08,-228200.80,-261450.09,-290564.78,-319552.11,-348762.13,-378093.60,-407498.85,-437560.36,-473182.99,-507564.23,-542555.60,-579790.19,-623081.08,-657009.23,-689398.79,-725995.59,-753173.82,-774092.51,-780536.40,-75988.989,-104592.21,-137568.80,-184696.63,-217870.90,-242860.48,-261582.89,-275566.45,-286289.57,-1073204.6,-1094174.9,-1112499.8,-1131015.1,-1152750.6,-1181880.1,-1218319.9,-1266013.2,0.0000000
639.0000000000,-127068.23,-163867.75,-196194.81,-227800.57,-260972.14,-290017.85,-318935.94,-348076.10,-377337.80,-406673.91,-436666.10,-472208.63,-506497.21,-541390.22,-578525.30,-621716.31,-655569.89,-687891.48,-724416.34,-751533.86,-772401.61,-778831.68,-75953.588,-104520.84,-137458.44,-184533.36,-217654.02,-242592.26,-261269.50,-275216.93,-285916.15,-1071110.9,-1092036.6,-1110328.7,-1128814.0,-1150516.6,-1179603.4,-1215998.7,-1263649.6,0.0000000
684.0000000000,-127474.47,-164756.98,-197560.41,-229626.15,-263215.17,-292622.97,-321899.19,-351398.30,-381018.79,-410712.84,-441068.12,-477034.30,-511788.95,-547162.15,-584772.89,-628421.75,-662646.22,-695323.10,-732236.65,-759719.81,-780902.67,-787442.29,-76242.406,-105097.53,-138332.09,-185768.92,-219265.63,-244566.56,-263568.69,-277780.99,-288626.04,-1082543.4,-1103763.2,-1122299.7,-1141028.5,-1163015.2,-1192444.8,-1229191.0,-1277170.9,0.0000000
730.0000000000,-127519.60,-164858.03,-197711.30,-229822.18,-263449.46,-292891.16,-322201.40,-351734.83,-381389.60,-411117.63,-441507.01,-477512.64,-512312.84,-547734.36,-585393.96,-629091.84,-663352.96,-696063.27,-733012.24,-760525.35,-781733.37,-788279.86,-76259.952,-105132.90,-138386.77,-185849.75,-219372.97,-244699.26,-263723.70,-277953.83,-288810.64,-1083573.2,-1104815.2,-1123367.8,-1142111.5,-1164114.6,-1193565.4,-1230333.6,-1278334.6,0.0000000
776.0000000000,-127315.86,-164412.03,-197026.44,-228906.73,-262324.79,-291585.01,-320715.74,-350069.24,-379544.17,-409092.79,-439300.17,-475093.48,-509660.05,-544840.85,-582261.97,-625730.27,-659805.46,-692337.70,-729091.86,-756421.78,-777471.94,-783963.55,-76115.340,-104844.14,-137949.30,-185231.02,-218565.88,-243710.53,-262572.25,-276669.73,-287453.50,-1077843.7,-1098938.3,-1117368.6,-1135990.3,-1157851.1,-1187130.3,-1223722.8,-1271559.0,0.0000000
822.0000000000,-127293.71,-164362.42,-196952.37,-228810.51,-262209.81,-291453.39,-320567.43,-349904.09,-379362.20,-408894.15,-439084.81,-474858.76,-509402.99,-544560.08,-581957.23,-625401.47,-659458.68,-691974.52,-728711.31,-756026.54,-777064.36,-783552.61,-76106.741,-104826.81,-137922.50,-185191.40,-218513.27,-243645.48,-262496.26,-276585.00,-287363.00,-1077338.5,-1098422.3,-1116844.6,-1135459.1,-1157311.9,-1186580.6,-1223162.4,-1270988.3,0.0000000
867.0000000000,-127917.94,-165729.83,-199050.03,-231611.62,-265647.62,-295444.08,-325105.24,-354990.40,-384996.71,-415075.39,-445820.34,-482240.48,-517496.91,-553388.54,-591513.87,-635659.94,-670284.22,-703342.42,-740671.98,-768543.33,-790059.92,-796714.03,-76543.356,-105698.76,-139243.90,-187061.51,-220953.43,-246635.49,-265978.87,-280469.20,-291468.88,-1094775.6,-1116305.6,-1135098.0,-1154080.7,-1176362.8,-1206149.8,-1243262.1,-1291585.7,0.0000000
913.0000000000,-127987.62,-165885.93,-199282.93,-231913.92,-266008.54,-295857.05,-325570.46,-355508.33,-385567.30,-415698.14,-446495.39,-482975.91,-518302.25,-554268.10,-592468.55,-636690.03,-671370.57,-704480.04,-741863.85,-769780.97,-791335.93,-798000.47,-76569.981,-105752.45,-139326.93,-187184.36,-221116.66,-246837.37,-266214.76,-280732.30,-291749.95,-1096354.8,-1117918.4,-1136735.5,-1155740.8,-1178047.6,-1207866.8,-1245012.5,-1293368.1,0.0000000
958.0000000000,-127160.45,-164074.33,-196503.08,-228200.80,-261450.09,-290564.78,-319552.11,-348762.13,-378093.60,-407498.85,-437560.36,-473182.99,-507564.23,-542555.60,-579790.19,-623081.08,-657009.23,-689398.79,-725995.59,-753173.82,-774092.51,-780536.40,-75988.989,-104592.21,-137568.80,-184696.63,-217870.90,-242860.48,-261582.89,-275566.45,-286289.57,-1073204.6,-1094174.9,-1112499.8,-1131015.1,-1152750.6,-1181880.1,-1218319.9,-1266013.2,0.0000000
1004.000000000,-127068.23,-163867.75,-196194.81,-227800.57,-260972.14,-290017.85,-318935.94,-348076.10,-377337.80,-406673.91,-436666.10,-472208.63,-506497.21,-541390.22,-578525.30,-621716.31,-655569.89,-687891.48,-724416.34,-751533.86,-772401.61,-778831.68,-75953.588,-104520.84,-137458.44,-184533.36,-217654.02,-242592.26,-261269.50,-275216.93,-285916.15,-1071110.9,-1092036.6,-1110328.7,-1128814.0,-1150516.6,-1179603.4,-1215998.7,-1263649.6,0.0000000
1049.000000000,-127474.47,-164756.98,-197560.41,-229626.15,-263215.17,-292622.97,-321899.19,-351398.30,-381018.79,-410712.84,-441068.12,-477034.30,-511788.95,-547162.15,-584772.89,-628421.75,-662646.22,-695323.10,-732236.65,-759719.81,-780902.67,-787442.29,-76242.406,-105097.53,-138332.09,-185768.92,-219265.63,-244566.56,-263568.69,-277780.99,-288626.04,-1082543.4,-1103763.2,-1122299.7,-1141028.5,-1163015.2,-1192444.8,-1229191.0,-1277170.9,0.0000000
1095.000000000,-127519.60,-164858.03,-197711.30,-229822.18,-263449.46,-292891.16,-322201.40,-351734.83,-381389.60,-411117.63,-441507.01,-477512.64,-512312.84,-547734.36,-585393.96,-629091.84,-663352.96,-696063.27,-733012.24,-760525.35,-781733.37,-788279.86,-76259.952,-105132.90,-138386.77,-185849.75,-219372.97,-244699.26,-263723.70,-277953.83,-288810.64,-1083573.2,-1104815.2,-1123367.8,-1142111.5,-1164114.6,-1193565.4,-1230333.6,-1278334.6,0.0000000
